codigo_subpartida,descripcion
0302540000,"- - Merluzas (Merluccius spp., Urophycis spp.)"
0302550000,- - Abadejos de Alaska (Theragra chalcogramma)
0302560000,"- - Bacaladillas (Micromesistius poutassou, Micromesistius australis)"
0302590000,- - Los demás
0302710000,- - Tilapias (Oreochromis spp.)
0302720000,"- - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0302730000,"- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0302740000,- - Anguilas (Anguilla spp.)
0302790000,- - Los demás
0302810000,- - Cazones y demás escualos
0302820000,- - Rayas (Rajidae)
0302830000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
0302840000,- - Róbalos (Dicentrarchus spp.)
0302850000,"- - Sargos (Doradas, Espáridos) (Sparidae)"
0302890000,- - Los demás
0302910000,"- - Hígados, huevas y lechas"
0302920000,- - Aletas de tiburón
0302990000,- - Los demás
0303110000,- - Salmones rojos (Oncorhynchus nerka)
0303120000,"- - Los demás salmones del Pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)"
0303130000,- - Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)
0303140000,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)"
0303190000,- - Los demás
0303230000,- - Tilapias (Oreochromis spp.)
0303240000,"- - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0303250000,"- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0303260000,- - Anguilas (Anguilla spp.)
0303290000,- - Los demás
0303310000,"- - Fletanes («halibut») (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
0303320000,- - Sollas (Pleuronectes platessa)
0303330000,- - Lenguados (Solea spp.)
0303340000,- - Rodaballos («turbots») (Psetta maxima)
0303390000,- - Los demás
0303410000,- - Albacoras o atunes blancos (Thunnus alalunga)
0303420000,- - Atunes de aleta amarilla (rabiles) (Thunnus albacares)
0303430000,- - Listados (bonitos de vientre rayado) (Katsuwonus pelamis)
0303440000,- - Patudos o atunes ojo grande (Thunnus obesus).
0303450000,"- - Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)"
0303460000,- - Atunes del sur (Thunnus maccoyii)
0303490000,- - Los demás
0303510000,"- - Arenques (Clupea harengus, Clupea pallasii)"
0303530010,"- - - Sin cabeza, sin vísceras"
0303530090,- - - Los demás
0303540000,"- - Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0303550000,- - Jureles (Trachurus spp.)
0303560000,- - Cobias (Rachycentron canadum)
0303570000,- - Peces espada (Xiphias gladius)
0303590000,- - Los demás
0303630000,"- - Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0303640000,- - Eglefinos (Melanogrammus aeglefinus)
0303650000,- - Carboneros (Pollachius virens)
0303660000,"- - Merluzas (Merluccius spp., Urophycis spp.)"
0303670000,- - Abadejos de Alaska (Theragra chalcogramma)
0303680000,"- - Bacaladillas (Micromesistius poutassou, Micromesistius australis)"
0303690000,- - Los demás
0303810000,- - Cazones y demás escualos
0303820000,- - Rayas (Rajidae)
0303830000,"- - Austromerluzas antárticas y austromerluzas negras (merluzas negras, bacalaos de profundidad, nototenias negras) (Dissostichus spp.)"
0303840000,- - Róbalos (Dicentrarchus spp.)
0303890000,- - Los demás
0303910000,"- - Hígados, huevas y lechas"
0303920000,- - Aletas de tiburón
0303990000,- - Los demás
0304310000,- - Tilapias (Oreochromis spp.)
0304320000,"- - Bagres o peces gato (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0304330000,- - Percas del Nilo (Lates niloticus)
0304390000,- - Los demás
0304410000,"- - Salmones del pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus), salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
